# 발간분 대장 — 사람이 확인해 적는다.
#
# 이 표의 markStyle 컬럼 자체가 자료다. '정부가 자기 항목에 이름 붙이는 방식'의
# 연대기이기 때문이다(스펙 §6). 28년 동안 표기가 일곱 번 바뀌었다.
#
# status:  verified(전체 원문 대조) / partial(일부만) / from-preface(발간사에서)
#          pending(아직 안 함) / blocked(원본이 없거나 못 읽음)
#          no-section(그 판에 기조 절 자체가 없다)
#
# pending·blocked·no-section 은 화면에서 서로 다르게 보여야 한다.
# '아직 안 채운 것' / '원본이 망가진 것' / '원래 없는 것' 은 다른 사실이다.
#
# markStyle: number | ordinal-word(첫째·둘째) | bullet(▲) | inline-lead(문장 속 나열)
#            prose | roman(정책목표 Ⅰ~Ⅴ) | circled(①~⑤) | heading(번호 없는 소제목)
#
coverageYear	title	publishedYear	administration	brand	chapter	section	label	pages	markStyle	status	sourceFiles	note
2010	2011 외교백서	2011	이명박		1	2	외교정책 기조		number	verified	2011 외교백서_제1장.pdf
2011	2012 외교백서	2012	이명박		1	2	외교정책 기조		number	verified	2012 외교백서 01.pdf
2012	2013 외교백서	2013	이명박		1	2	외교정책 기조		number	verified	2013 외교백서_제1장.pdf
2013	2014 외교백서	2014	박근혜	국민과 함께 하는 신뢰외교	1	2	외교정책 기조	23	bullet	verified	2014 외교백서_제1장.pdf	6개 추진과제. 리드의 항목명과 뒤따르는 소제목이 조금씩 다르다
2014	2015 외교백서	2015	박근혜	국민과 함께하는 신뢰외교	1	2	외교정책 기조		bullet	verified	2015 외교백서(국문)-1장.pdf	5개로 줄었다. 2013년의 '북핵문제 진전을 위한 동력 강화'와 '동북아 평화협력 구상'이 '평화통일 신뢰외교'로 바뀐다. 정권은 그대로인데 항목이 재편됐다. **브랜드 띄어쓰기도 '함께 하는'→'함께하는'으로 달라진다**
2015	2016 외교백서	2016	박근혜		1	2	외교정책 기조		bullet	verified	2016 외교백서 1장.pdf	6개. **북핵이 2번** — 주변국 외교가 1번
2016	2017 외교백서	2017	박근혜		1	2	외교정책 기조			blocked		**원본 PDF에 인쇄 22~23쪽 결손.** 제1장은 21쪽에서 끝나고 제2장은 24쪽에서 시작한다. MANIFEST 미기록 결함. 다른 소장처 필요
2017	2018 외교백서	2018	문재인	국민의 나라, 정의로운 대한민국	1	2	외교정책 기조	18	bullet	verified	2018 외교백서 국문_1장.pdf	OCR 유래(▲가 '쇼'로 읽힘). **탄핵 직후라 '주변 4국과 정상외교 공백 복원'이 1번이고 한반도가 2번**
2018	2019 외교백서	2019	문재인		1	2	외교정책 기조		number	verified	2019 외교백서 국문_제1장.pdf
2019	2020 외교백서	2020	문재인		1	2	외교정책 기조		number	verified	2020 외교백서 국문_제1장.pdf	OCR 유래
2020	2021 외교백서	2021	문재인		1	2	외교정책 기조		number	verified	2021 외교백서(국문).pdf	**코로나 해라 '우리 국민의 생명과 안전 보호'가 1번, 한반도가 2번**
2021	2021년도 국제정세와 외교활동	2022	문재인							no-section		**「외교정책 기조」 절이 이 판에 없다.** 편제가 바뀌어 제1장이 「2021년 국제정세」 하나뿐이고 제2장부터 코로나19·한반도·지역 외교로 넘어간다. 못 채운 것이 아니라 원래 없는 것이다
2022	2022년도 국제정세와 외교활동	2023	윤석열	글로벌 중추국가	1	2	외교정책 기조		number	verified	2022년도 국제정세와 외교활동(외교백서).pdf
2023	2023년도 국제정세와 외교활동	2024	윤석열	글로벌 중추국가	1	2	외교정책 기조	25	number	verified	2023년도 국제정세와 외교활동.pdf
2024	2024년도 국제정세와 외교활동	2025	윤석열	글로벌 중추국가	1	2	외교정책 기조		number	verified	2024년도 국제정세와 외교활동.pdf
2025	2025년도 국제정세와 외교활동	2026	이재명		1	2	외교정책 기조	22	number	verified	2025년도 국제정세와 외교활동.pdf	**한반도·북핵이 4번.** 1998~2025 범위에서 처음 4번으로 기록된 사례
